index,iteração_1,iteração_2,Nossa_op
"Holiday on Ice in St. Petersburg, With a Shot of Vodka on the Side",Baixa,Media,Baixa
"Choice Tables: In El Paso and Juárez, Elegant Surprises on Both Sides of the Rio Grande",Media,Media,Média
36 Hours: London,Media,Media,Baixa
Robert E. Rich | b. 1913: Food: The Nondairy Dairy Man,Media,Media,Baixa
Good Eating: Times Square: New for Auld Lang Syne,Media,Media,Baixa
"To Construct the Perfect Meal, Imagine a Restaurant Crawl",Media,Media,Baixa
Can This Living Room Be Saved?,Media,Media,Baixa
In the Heartland and Out of the Closet,Alta,Alta,Baixa
"Going Mobile: All Hanging in Place, Even the Fishbowl",Baixa,Media,Baixa
Can Google Come Out to Play?,Media,Media,Média
The Graying of Naughty,Media,Media,Média
David Lynchs Shockingly Peaceful Inner Life,Media,Media,Baixa
Small Wonders in a Big Year,Media,Media,Baixa
Green Icing on the Cake,Media,Media,Baixa
The Fast and the Frugal,Media,Baixa,Baixa
Editorial: The Hope of a Fresh Start,Media,Media,Baixa
Op-Ed Contributor: Another Last Chance to Change Your Life,Media,Media,Baixa
What Did Husseins Execution Accomplish? (11 Letters),Media,Media,Alta
An Opera at the Met Thats Real and Loud,Media,Media,Baixa
Murdoch vs. Regan: Hollywood Girds for Latest Boldface Battle of Egos,Media,Alta,Baixa
"Where to Shoot an Epic About Afghanistan? China, Where Else?",Alta,Alta,Alta
Mike Myers: Intentional Man of Mystery,Media,Media,Baixa
Not Everybody Loves Patricia,Media,Media,Baixa
A Revival for 'Tea and Sympathy',Media,Media,Baixa
Spotlight Moves to Hellmans Plays,Media,Media,Baixa
"'The Misunderstood Jew,' by Amy-Jill Levine: Interfaith Approach to Forgiving Trespass",Media,Media,Alta
"Wilma Dykeman, 86, a Writer on the Environment and Race, Dies",Media,Media,Média
Feared and Pitiless; Fearful and Pitiable,Alta,Alta,Média
Politics: Would-Be Presidents With Cold Shoulders,Media,Media,Média
Judiciary: The Kennedy Factor on the Roberts Court,Media,Media,Média
The Lives They Lived,Media,Media,Baixa
Joseph J. Schildkraut | b. 1934: The Creative Mind Reader,Baixa,Media,Baixa
William C. Norris | b. 1911: The Bleeding-Heart Rationalist,Media,Baixa,Baixa
Music of the Hemispheres,Media,Media,Baixa
Elder-Care Costs Deplete Savings of a Generation,Media,Alta,Baixa
Questions Couples Should Ask (Or Wish They Had) Before Marrying,Media,Baixa,Baixa
Op-Ed Contributor: America the Overfull,Alta,Media,Baixa
Editorial Observer: Middle School Girls Gone Wild,Alta,Alta,Baixa
Saying Yes to Mess,Media,Media,Baixa
"An Appreciation: From Father to Son, Last Words to Live By",Media,Media,Baixa
36 Hours: London,Media,Media,Baixa
Last Legal Steps as Iraq Prepares to Hang Hussein,Alta,Alta,Alta
Boise St. stuns OU 43-42 in OT,Media,Media,Baixa
How to keep your New Year's resolutions,Media,Media,Baixa
U.S.,Baixa,Media,Baixa
World,Media,Media,Baixa
Politics,Media,Media,Baixa
Sports,Media,Media,Baixa
BuzzTracker,Media,Media,Baixa
FOX Sports,Media,Media,Baixa
Corrections,Baixa,Media,Baixa
Editorials,Media,Baixa
"K Street, 1",Baixa,Media,Baixa
"NFL Insider, 11",Media,Media,Baixa
"Life at Work, 11",Media,Media
"Post Politics, 11",Baixa,Baixa
"MediaBacktalk, 12",Media,Baixa
"Opinion, 1",Media,Media
Transcripts,Media,Media
Ford's Life,Baixa,Media
Political Career,Media,Media
VIDEO: Hometown Remembers Ford,Media,Media
AUDIO,Media,Media
"Former President, 93, Dies at Home",Media,Media
President Bush Hails the Late President,Media,Media
VIDEO,Baixa,Media
President Bush,Media,Baixa
Vice President Cheney,Media,Media
Writing an End to Watergate,Media,Media
"Archive: Nixon Resigns, Ford Takes Oath of Office",Baixa,Baixa
'Accidental President' Was a Healer of Wounds,Media,Media
Q&A Transcripts: Post's Broder,Media,Media
Ford as Candidate,Media,Media
Ben Bradlee,Media,Baixa
Lou Cannon,Baixa,Baixa
David S. Broder,Media,Media
Feds Entitled to MLB Drug Data,Baixa,Alta
Bush's New Look,Media,Media
Bush's New Look on Iraq: Weary,Media,Media
,Baixa,Baixa
Hope for New Orleans,Media,Media
The Right Type of Iraq 'Surge',Media,Media
Middle Class Myths,Media,Media
Hussein Farewell Released,Media,Alta
Court Upholds Hussein's Sentence,Media,Media
Trial Primer,Media,Media
Baathists Threaten Retaliation,Alta,Alta
7 U.S. Troops Killed,Alta,Alta
Ramadi Diary,Media,Alta
Ethiopia Seizes Somali City,Media,Media
New Front in War on Terror Emerges,Alta,Alta
Conflict With Conflict Diamonds,Alta,Alta
The Many Facets of 'Blood Diamond',Media,Alta
John Edwards Joins Presidential Race,Media,Media
Iran Lawmakers Vote to Revise Nuke Ties,Media,Media
Pope Gets Letter From Iran's Leader,Baixa,Media
"Pentagon to Send 3,500 Troops to Kuwait",Media,Baixa
Public Viewing of James Brown at Apollo Theater,Media,Media
New Homes Sales Post Gain Nationally in Nov.,Media,Media
"Quake Disrupts Phone, Internet Service in Asia",Media,Baixa
One Missing Climber's Body Found in China,Media,Media
Jewel Case Treasures of 2006,Media,Media
"Cheese, Please",Media,Media
On Gerald Ford,Media,Media
Ford For Pres.,Media,Media
Recent Discussion Transcripts,Media,Media
Eye on Entertainment,Baixa,Media
Kidman and Urban Reunite,Media,Media
Brown's Body to Lie at Apollo,Media,Media
"Jolie, Pitt Visit Refugees",Media,Media
'Scandal': Lesson Not Forgotten,Alta,Media
Brake-Dancing With Zip,Media,Media
MARKETS,Media,Media
Private Funds Prepare to Lobby,Media,Media
Holiday Shopping Continues,Media,Media
"Of Public Debt, Private Wealth",Alta,Alta
Virginia DNA Review Hobbled,Media,Media
Reservist Due for Iraq Killed,Baixa,Alta
How Not to Fix Frozen Pipes,Media,Media
Redskins's Records in Danger,Media,Media
Capitals Knocked Out Early,Media,Media
Weatherly Stresses Positives,Media,Baixa
Cybercrooks Deliver Trouble,Media,Baixa
Google to Expand Ad Program,Media,Media
Report: Apple Options Probed,Media,Media
Handguns Missing From DHS,Alta,Alta
Plant Taps Thirst for Vodka,Alta,Media
Threat to Polar Bears,Media,Alta
Gay Marriage Vote Not Forced,Media,Media
Polar Bears May Be Threatened,Media,Baixa
Biden to Fight Troop Buildup,Media,Alta
Hundreds Die in Nigeria Blast,Alta,Alta
Quake Disrupts Phone Service,Media,Media
Israel Approves Settlement,Alta,Media
Spouses Help Slow Anxiety,Media,Media
Drug Plan Deadline Looms,Media,Media
Men's Weight Linked to Cancer,Media,Baixa
D.C. Considers Unusual Deal,Media,Media
'Barefoot Teachers' Left Behind,Media,Media
Condos Slated Above Church,Baixa,Media
My Faith: Tell Us Your Story,Media,Media
A Military Family's Holiday,Media,Media
Nicaragua's New Scene,Media,Media
Frequent-Flier Miles Gone?,Media,Media
Here it is! Winds of up to 105mph as gigantic Hurricane Earl smacks into U.S. East Coast,Alta,Media
,Baixa,Baixa
Add to My Stories,Media,Media
"Girl, four, weighing just 15lbs and kept tied to her cot found dead in 'filthy' New York apartment",Alta,Alta
"AmericanAltachool student planned to blow up his school, rape and 'become the world's most infamous sociopath'",Alta,Alta
Man guilty of posting footage of him sexually assaulting his unconscious girlfriend online,Alta,Alta
'No regrets': Texas executioner retires after putting 139 men (and one woman) to death in just SIX years,Alta,Alta
Stuntwoman suffers serious head injuries on Transformers 3 set,Media,Alta
Katy Perry stops traffic in teeny polka dot dress,Media,Media
Jessica Simpson,Media,Media
Katy Perry,Media,Media
Prince Harry,Media,Media
'Amanda Knox is innocent': Former FBI agent tells U.S. TV that student could not have killed Meredith Kercher,Alta,Alta
13 oil workers pulled from sea after second offshore rig explodes in Gulf of Mexico,Media,Media
White House forced to say Obama is a 'mainstream Christian' after attack from talk show host Glenn Beck,Alta,Alta
'I can't have my birth certificate plastered on my forehead': Barack Obama laughs off poll that shows a fifth of Americans believe he's Muslim,Baixa,Alta
Newlywed 'murdered his wife of just five months after she discovered his affairs on Facebook',Alta,Alta
"Fears that 110mph Hurricane Earl could sideswipe New York, Boston and Cape Cod",Alta,Alta
"Woman, 23, suffers serious head injuries after stunt goes wrong on Transformers 3 set",Alta,Alta
"'Amanda Knox is innocent':, says former FBI agent",Media,Media
Love letter to America: Gushing tributes to Obama and Bush in U.S. version of Blair memoirs,Media,Media
Why pick MY car? Driver demands explanation from suicide plunge survivor,Alta,Alta
What gender pay gap? Young single women making MORE money than their male peers in America's cities,Baixa,Baixa
'No regrets': Texas executioner retires after putting 139 men (and one woman) to death in SIX years,Alta,Alta
French national railway bid to operate U.S.Altapeed line stalls over role in Holocaust,Alta,Alta
Mummified babies found in a suitcase after decades in the basement of LA apartment block,Alta,Alta
'I hope I rot in Hell': Suicide plea of father who bludgeoned his wife and daughter to death,Alta,Alta
"Cricket fixer's cash trail leads to captain, but Pakistan's most senior diplomat claims players were set up",Alta,Alta
Is the 'biased' BBC now try to cosy up to the Coalition?,Alta,Alta
The moment drunk BMW driver careers down road as friend desperately clings to the bonnet,Alta,Alta
'I have bombs strapped to my body ready to go off': Chilling last phone call of eco-terrorist,Alta,Alta
Samsung Galaxy Tab: Firm joins forces with Google by launching tablet to take on iPad,Media,Media
"Toddler, 2, kicks 40-a-day cigarette habit",Alta,Media
Drugs to fight bone thinning 'doubles cancer risk',Alta,Media
Hague 'could quit' over gay smears,Alta,Alta
"God did NOT create the Universe, says Stephen Hawking",Media,Alta
Young bride burned herself to death to escape 'shame' of failing arranged marriage,Alta,Alta
'Honour killing' parents dramatically re-arrested seven years after death of Shafilea Ahmed,Alta,Alta
Brain training 'delays dementia but SPEEDS up decline later on',Alta,Alta
"Transformers 3 director offers $50,000 reward to track down puppy-throwing girl",Alta,Alta
'Hey pretty girl': American woman severely burned after acid-like liquid thrown into her face by stranger faces the world,Alta,Alta
'Hey pretty girl': Woman severely burned after acid-like liquid thrown into her face by a stranger faces the world,Alta,Alta
'Amanda Knox is innocent': Former FBI agent tells U.S. TV student could not have killed Meredith Kercher,Alta,Alta
"Coming soon to your TV, Stig Gear",Media,Media
Will Hague walk out over smears? Foreign secretary hints he's tired of whispering campaign,Alta,Media
I've got my hands full aping Mum: Orangutan cradles lion cubs in unlikely babysitter role,Media,Baixa
Prince Harry faces animal cruelty claim over polo pony's stab wound from his spur,Alta,Alta
"Transformers 3 director Michael Bay offers $50,000 reward to track down puppy-throwing girl",Alta,Alta
The moment armed police marched off car thieves afterAlta-speed chase ends in collision,Media,Alta
"Traveller gang conned 94-year-old victim out of £70,000 for building work that was worth just £250",Alta,Alta
Is the 'biased' BBC now trying to cosy up to the Coalition? Corporation boss lets slip notes for meeting at No 10,Alta,Alta
Who tookie our Wookie? Mystery of lovable Yorkie who was dognapped by an angry motorist,Media,Baixa
Ban on bargain booze: Minimum price law could be introduced across UK,Baixa,Alta
Stig the SAS hero: Top Gear driver's military past revealed (as well as his identity),Baixa,Media
Four officers called to deal with 84-year-old WWII veteran... for riding his bike on the pavement,Alta,Media
The long farm of the law: Police force unveils its latest weapon against crime - a....TRACTOR?,Media,Media
RICHARD LITTLEJOHN: What is all the fuss about Tony Blair's memoirs? We REALLY don't need to know these politicians' gory details,Alta,Alta
"Silly billies: Pictured, two young goats get stuck on six-inch ledge of railway bridge for two days",Media,Media
"Toddler, 2, kicks 40-a-day cigarette habit after month-long spell in rehab... but now that he's out, can he keep it up?",Alta,Alta
The long farm of the law: Police force unveils its latest weapon against crime - a John Deere TRACTOR,Media,Media
Four police officers called to deal with 84-year-old British WWII veteran... for riding his bike on the pavement,Media,Baixa
'Dognapper' motorist drives off with Wookie the Yorkshire Terrier after British road rage incident,Alta,Alta
I've got my hands full aping Mum: Babysitter orangutan cradles lion cubs,Baixa,Media
Katy Perry brings London to a halt as she steps out in figure hugging polka dot dress Thankfully there was no sign of yesterday's big pants,Media,Baixa
Prince Harry faces animal cruelty claim over polo pony's stab wound from his spur Animal welfare groups accuse Prince of being 'heartless',Alta,Alta
Heidi nose best? Plastic surgery junkie Heidi Montag says she now fears her nose may fall off...just like Michael Jackson's,Alta,Alta
Kelly Osbourne celebrates her slim new figure in raunchy performance with the Pussycat Dolls She sparkled in PVC corset,Alta,Baixa
"Altaheels, hemlines and hair: Jersey Shore girls glam up for dinner... as The Situation buys a $100,000 Bentley They were Guidette chic",Baixa,Media
Jessica Simpson clowns around to help promote her fashion line in a Macy's commercial She says she plans to use 'real' people to model the line,Baixa,Media
Kim Kardashian narrowly avoids disaster as her gravity defying dress slips down She nearly displayed her generous curves to the world,Alta,Media
How Demi keeps showing us Moore (...and Moore!) on Twitter  We take a look at the actress's cringeworthy postings online,Alta,Alta
What a way to spend your birthday! Keanu Reeves marks his 46th with a solitary cupcake outside a warehouse  How depressing...,Baixa,Baixa
Jason Statham and Rosie Huntington-Whiteley loved-up for LA hotel stay while new home is prepared Hard man turns soft for his girlfriend,Baixa,Baixa
"Sell her flat? She should be so lucky! Kylie Minogue is selling her home at a knockdown price The Kensington flat is reduced by £500,000",Media,Baixa
Kate Hudson leaves rockstar lover Matt Bellamy behind as she takes son Ryder on the transatlantic school run She headed back to New York with Ryder,Media,Media
Lady Gaga sexes up Lady Liberty for magazine cover shoot The controversial singer wore her Poker Face and little else,Alta,Alta
Bristol Palin and Audrina Patridge finally get their hands on their Dancing With The Stars partners Contestants in rehearsals,Media,Media
Why does Disney hate parents? Ever noticed your favourite films always kill off Mum and Dad  There's a distinct absence of parents,Media,Alta
Pregnant Ali Larter sparkles as she parades growing baby bump in figure-hugging dress  She was at the Tokyo premiere of Resident Evil,Media,Media
Demure Whitney Port covers up at glitzy Hollywood party... and leaves the flesh flashing to everyone else Hem lines wereAltaat OK Magazine party,Baixa,Baixa
...read,Null,Baixa
US housing jump in July stuns economists expecting a fall,Media,Media
"Fresh fears for UK property market as average house house price slumped by £2,850 in August",Baixa,Media
'I hope I rot in Hell': Suicide plea of father who bludgeoned his wife and daughter to death after his business floundered,Alta,Alta
Videos,Media,Media
Samsung and Google launch tablet to take on Apple's iPad,Media,Media
AOL renews Google deal to share search revenue,Media,Media
£1m Paxman could face 20% cut in BBC's salary squeeze,Media,Media
ANDREW PIERCE: Soulmates who were such easy targets for innuendo,Media,Baixa
Write-off: Stolen car destroyed inAlta-speed car chase - and you should see the police car...,Alta,Alta
My Grandpa the SS officer,Alta,Alta
'I have bombs strapped to my body ready to go off': Chilling last phone call of eco-terrorist who took hostages at Discovery HQ,Alta,Alta
"Toddler, 2, kicks 40-a-day cigarette habit after month-long spell in rehab",Alta,Alta
Why older women are more prone to fertility problems,Media,Media
Health fear over metal in formula milk as researchers discover up to 40 times more aluminium than breast milk,Alta,Alta
Scientists pinpoint how most aggressive breast cancers grow,Media,Baixa
Dutch woman arrested after bodies of three infants found in her shed,Alta,Alta
Greatest free-kick was no fluke: Roberto Carlos' 1997 'freak' goal explained by scientists,Baixa,Media
Is this the end of window shopping? Washington complex installs anti-loitering device,Media,Media
Man guilty of posting footage of him sexually assaulting his drunk and unconscious girlfriend online,Alta,Alta
DOW      12463.15          -38.37,Media,Baixa
NASDAQ      2415.29          -10.28,Baixa,Baixa
S&P 500      1418.30          -6.43,Baixa,Baixa
Symbol Lookup,Media,Media
HOME,Media,Media
NEWS & ANALYSIS,Media,Media
MARKETS & ECONOMY,Media,Media
INVESTING TOOLS,Media,Media
VIDEO,Media,Media
CNBC TV,Media,Media
HELP,Baixa,Media
More CNBC Videos,Media,Media
Stock Investors May Be in a Buying Mood for the New Year,Media,Media
Quiet End To Big Year For Stocks,Media,Media
Market Outlook: Analysts Tell CNBC Their Top Stock Picks for '07,Media,Media
"Sector Watch: Oil Stocks Have Room for Gains, Analysts Say",Media,Media
"Economic Outlook: Consumer Spending to Slow, But Not by Much",Media,Media
Wal-Mart Says December Sales May Have Topped Forecasts,Media,Media
FCC Approves AT&T's Buyout of BellSouth,Media,Baixa
Apple Shines In Face Of Options Report,Media,Media
Chrysler to Build Small Cars With China's Chery,Media,Media
Oil Trading Ends 2006 With a Late Surge,Media,Media
The Nikkei Gains 6.9% in 2006,Media,Baixa
"No Stopping The Euro, No Relief For The Dollar",Media,Media
Stock And Most Commodity Markets to Close Tuesday for Ford's Funeral,Baixa,Baixa
Patti Domm,Baixa,Media
Mark Koba,Media,Media
Closing Bell,Media,Media
Carlo Dellaverson,Alta,Baixa
Street Signs,Media,Media
More Posts,Media,Baixa
More in Markets & Economy,Media,Media
U.S. markets closed,Media,Media
View Full Guest List,Baixa,Media
More in World Markets,Media,Baixa
,Baixa,Baixa
About CNBC,Media,Media
Site Map,Media,Media
Privacy Policy,Media,Media
Terms of Service,Baixa,Media
Hillary Clinton and Obama meet for 'friendship' lunchÂ with a side of intrigue,Media,Media
Egypt restores feared secret police units,Alta,Media
Anthony Weiner support slumps as poll finds New Yorkers favour exit from race,Media,Media
Pope Francis signals openness towards gay priests,Media,Media
Gareth Bale will put pressure on Spurs to let him go to Real Madrid,Media,Alta
How the Middle East and US have reacted to Egypt's post-Morsi regime,Media,Media
Apple investigates new claims of China factory staff mistreatment,Alta,Media
Russia's Aeroflot to launch budget airline amid effort to revamp brand,Media,Media
Greek resorts consider special tourist zones after Briton's murder,Alta,Alta
Middle East peace talks under way in Washington,Media,Media
,Baixa,Baixa
Former US amBaixador to oversee talks,Media,Media
Analysis: Middle East peace talks rebooted,Media,Media
Israel to release Palestinian prisoners,Media,Media
Opinion: talks concern Obama's search for legacy,Media,Media
Explosions at Florida propane plant,Alta,Media
Fire and blasts at propane depot in Tavares,Media,Alta
Egypt restores feared secret police,Alta,Alta
How the Middle East and US have reacted to Egypt,Baixa,Media
Peter Beaumont: Muslim Brotherhood in crisis,Media,Media
'We didn't have space for the bodies',Alta,Alta
Pope: I won't judge gay priests,Media,Media
Joanna Moorhead: Will it translate into action?,Media,Media
Pope's final Rio mass draws crowds,Media,Media
Manning verdict expected Tuesday,Media,Media
Senator: Fisa court is 'anachronistic',Media,Media
Congressmen: oversight of NSA doesn't work,Media,Media
NSA surveillance critics to testify before Congress,Media,Baixa
US will not seek death penalty for Snowden,Media,Media
Climate study predicts watery future,Media,Media
Weiner faces more woe in new poll,Baixa,Media
Weiner's campaign manager quits,Media,Media
Scandal reveals almighty power of the internet,Media,Media
Taliban attack Pakistan prison,Alta,Alta
Baghdad car bombs kill dozens,Alta,Alta
Woman arrested in DC vandalism,Media,Media
Cannes heist one of largest ever,Media,Baixa
Cannes robbery: thief steals jewels worth â‚¬40m,Media,Media
New claims of Apple mistreatment,Media,Media
Fast food workers protest low wages,Alta,Alta
Bulger defence calls Ex-FBI agent,Baixa,Media
Inquiry opened into Italy bus crash,Media,Media
At least 37 dead in Italy bus crash,Alta,Alta
Simon Jenkins: Making travel 'safer' is dangerous,Alta,Alta
Interactive: Italy coach crash in Acqualonga viaduct,Alta,Alta
"Amazon to hire 5,000 new workers",Baixa,Media
FBI rescues children from traffickers,Media,Baixa
Train driver 'admits he was reckless',Alta,Alta
Train crash driver to face judge,Media,Media
Spanish train's 'black boxes' found,Baixa,Media
Miguel-Anxo Murado: human error over decades,Baixa,Media
The best news photographs of the day,Baixa,Media
Best non-fiction summer reads,Media,Media
Going underground â€“ in pictures,Media,Baixa
Status update with Rob Delaney,Media,Media
From Twitter to board games and books,Media,Media
"A beloved Twitter coMedian, Rob Delaney has expanded his empire of hilarity to include a board game and a book",Media,Media
Clinton & Obama,Baixa,Media
Lunchtime,Media,Media
Political partners (and rivals) lunched at the White House on Monday,Media,Media
Passport photos,Media,Media
Famous faces,Media,Media
Even the brutality of the photo booth cannot dim true glamour,Media,Alta
Putin photo,Media,Media
Fishy business,Media,Media
Bloggers question reported 21kg weight of catch,Media,Media
Glenn Greenwald,Alta,Media
"Major opinion shifts, in the US and Congress, on NSA surveillance and privacy",Media,Media
Richard III site,Media,Media
New coffin found,Media,Media
Scientists to open coffin under carefully controlled conditions,Media,Media
Star Wars sequel,Media,Baixa
No cheap tricks,Media,Baixa
Film-makers tell fans they'll 'use every tool in the toolbox',Media,Media
Curiosity rover,Media,Media
The story so far,Media,Media
We look back at an incredible feat: landing the probe on Mars,Media,Media
James Blunt,Media,Media
Single spammer,Baixa,Baixa
Singer apologises on Twitter for UK-wide mailout blunder,Media,Media
How we made â€¦,Baixa,Media
The Jungle Book,Media,Baixa
Voice of Mowgli and storyman recall production of 1967 film,Media,Baixa
Spotify,Media,Media
First comedy app,Media,Media
App picks out spoken-word playlists from coMedians old and new,Media,Media
Middle East,Media,Media
New Jerusalem,Media,Media
"In the Holy City, Jews are aiming to 'reclaim' its ancient Muslim Quarter",Alta,Alta
Artisan food,Baixa,Media
Just a fad?,Media,Media
"Artisan bakeries, city beekeepers, organic co-ops â€¦  Is this the future?",Media,Media
Film review,Media,Media
Refn follow-up,Baixa,Media
John Patterson: Only God Forgives this level of tedium,Baixa,Media
Anthea Butler,Baixa,Baixa
Conservatives bashed me for speaking out about the Zimmerman verdict,Alta,Alta
Johnny Depp,Media,Media
Retirement nigh,Baixa,Media
"Actor, 50, tells BBC he's thinking of moving on to 'quieter things'",Media,Media
Iraq to Review Abusive Acts at Husseins Execution,Alta,Alta
Blairs Deputy Calls Taunting at Execution Deplorable,Alta,Alta
More on The Lede Blog,Baixa,Baixa
Panel Seeks End to Death Penalty for New Jersey,Media,Media
Google Answer to Filling Jobs Is an Algorithm,Media,Media
,Baixa,Media
"When She Speaks, He Breaks Islams Taboos",Alta,Alta
A Surprising Secret to a Long Life: Stay in School,Media,Media
Data on Hispanic Immigrants Presents Puzzle on Aging,Media,Media
Interactive Graphic,Media,Media
"A Man Down, a Train Arriving, and a Stranger Makes a Choice",Media,Media
Trying to Find Solutions in Chaotic Middle Schools,Media,Media
Slide Show: Rethinking Middle School,Media,Media
Ford Is Remembered as Bringing Grace to a Moment of Great Doubt,Media,Media
Dollars Skid Puts a Glow on the Euro,Media,Media
Agency Lifts Restrictions on Caviar,Media,Media
Audio,Media,Media
"From Father to Son, Last Words",Media,Alta
Related Article,Alta,Alta
Never Underestimate the Average Joe,Media,Baixa
Hot-Button Controversy Rules Oscar Contenders,Alta,Alta
Dowd: Strained Egos,Media,Baixa
Friedman: A Hanging,Alta,Alta
Editorial: Net Democracy,Media,Media
Sectors,Media,Media
Luring Americans to Spain,Media,Media
Small Wonders in a Big Year,Media,Media
Flex Time for the Rest of Us,Media,Media
Bracing forAltaer Premiums,Media,Media
Trying to Clear Absinthe's Reputation,Media,Media
Fighting Over Gold in the Land of Dracula,Alta,Media
MoMA Sells Adjacent Lot for $125 Million,Media,Media
An American University for Iraq but Not in Baghdad,Baixa,Media
"Israeli Admits Big Errors in Lebanon War, but Wont Resign",Alta,Alta
Euro-Wary Slovenians Already Miss Their Tolar,Baixa,Media
Same-Sex Marriage Setback in Massachusetts,Alta,Alta
Fords Funeral Draws Array of Politicians and Dignitaries,Baixa,Baixa
"As Costs of Wildfires Grow, So Does a Question: Who Should Pay?",Media,Media
Bush Says Plan Would Balance Budget by 12,Media,Baixa
The Ex-Presidents Club Bids a Member Goodbye,Media,Media
"For Some Moviegoers, Its Hooray for Bollywood",Media,Baixa
Home Prices Fall Just a Bit; Brokers See ‘Soft Landing’,Media,Media
"Political Paper Stolen, Giuliani Camp Says",Alta,Alta
The Energy Challenge: Wal-Mart Puts Some Muscle Behind Power-Sipping Bulbs,Media,Media
Cancer Patients’ Wait Times Cost Billions,Media,Media
"In Atlanta, Medical Sleuths of Last Resort",Media,Media
Amgen Acquires Option for a Heart Failure Drug,Media,Media
Starbucks Cuts Use of Trans Fats,Media,Media
Essay: Whats Making Us Sick Is an Epidemic of Diagnoses,Media,Media
A Princeton Maverick Succumbs to a Cultural Shift,Media,Media
Advertising: Sensing Opportunity in Dormitory Air,Media,Media
Moving for the Food,Media,Media
"Habitats | Upper West Side: A Former Studio, Still Chockablock With Art",Baixa,Media
Layoffs Imminent at Philadelphia Inquirer,Alta,Alta
Economix: Its the Year to Keep an Eye on Paychecks,Media,Media
Patent Lawsuit Names Leading Technology Firms,Media,Media
Qualcomm Under Scrutiny by Korean Antitrust Agency,Media,Media
Young Turn to Web Sites Without Rules,Alta,Media
